"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U650","2020-03-22 00:00:00","442.000","351.000","1.300","20.000","0.900","964.800","","0.000","-99.000","-99.000","-99.000","26.500","","16.400",""
"C0D660","2020-03-22 00:00:00","65.000","272.000","0.900","22.600","0.810","1006.400","","0.000","-99.000","-99.000","-99.000","27.000","","20.000",""
"C0E540","2020-03-22 00:00:00","32.000","222.000","2.400","22.800","0.830","1010.600","","0.000","-99.000","-99.000","-99.000","27.700","","19.600",""
"C0W170","2020-03-22 00:00:00","42.000","181.000","5.900","17.100","0.880","1006.700","","0.000","-99.000","-99.000","-99.000","18.900","","14.200",""
"C0Z150","2020-03-22 00:00:00","27.000","223.000","1.400","21.900","0.980","1012.300","","0.000","-99.000","-99.000","-99.000","25.800","","18.800",""
"C0S840","2020-03-22 00:00:00","22.000","239.000","1.700","21.900","0.940","1014.100","","0.000","-99.000","-99.000","-99.000","27.700","","19.500",""
"C0H9A0","2020-03-22 00:00:00","1595.000","0.000","0.000","15.100","0.820","848.800","","0.000","-99.000","-99.000","-99.000","23.300","","10.300",""
"C0Z300","2020-03-22 00:00:00","182.000","162.000","1.200","21.200","0.990","995.600","","0.000","-99.000","-99.000","-99.000","29.400","","18.400",""
"C0G730","2020-03-22 00:00:00","27.000","160.000","0.800","22.500","0.960","1012.600","","0.000","-99.000","-99.000","-99.000","25.900","","19.100",""
"C0V730","2020-03-22 00:00:00","33.000","354.000","0.900","24.000","0.950","1012.300","","0.000","-99.000","-99.000","-99.000","28.500","","21.700",""
"C0SA00","2020-03-22 00:00:00","466.000","0.000","0.000","19.100","1.000","962.700","","0.000","-99.000","-99.000","-99.000","25.600","","16.800",""
"C0S900","2020-03-22 00:00:00","27.000","166.000","3.800","25.100","0.870","1013.100","","0.000","-99.000","-99.000","-99.000","27.600","","23.100",""
"C0X190","2020-03-22 00:00:00","10.000","35.000","0.300","23.500","0.900","1013.900","","0.000","-99.000","-99.000","-99.000","27.600","","20.900",""
"C0S950","2020-03-22 00:00:00","415.000","114.000","0.500","20.200","0.950","967.500","","0.000","-99.000","-99.000","-99.000","26.100","","17.700",""
"C0I530","2020-03-22 00:00:00","3014.000","224.000","7.100","6.500","0.990","704.300","","-99.000","-99.000","-99.000","-99.000","10.200","","2.300",""
"C0M670","2020-03-22 00:00:00","43.000","119.000","0.900","23.100","0.860","1009.500","","0.000","-99.000","-99.000","-99.000","29.100","","20.000",""
"C0Z061","2020-03-22 00:00:00","174.000","109.000","1.000","20.600","0.990","998.500","","0.000","-99.000","-99.000","-99.000","31.100","","18.900",""
"C0M730","2020-03-22 00:00:00","40.000","130.000","0.400","23.800","0.820","1009.800","","0.000","-99.000","-99.000","-99.000","30.900","","20.400",""
"C0U750","2020-03-22 00:00:00","398.000","261.000","4.400","19.000","1.000","968.600","","0.000","-99.000","-99.000","-99.000","22.400","","17.100",""
"C0A650","2020-03-22 00:00:00","287.000","0.000","0.000","18.100","0.990","982.000","","0.000","-99.000","-99.000","-99.000","28.900","","16.900",""
"C0K400","2020-03-22 00:00:00","65.000","139.000","1.100","23.200","0.950","1007.900","","0.000","-99.000","-99.000","-99.000","28.300","","19.800",""
"C0I370","2020-03-22 00:00:00","671.000","0.000","0.000","20.300","0.900","941.100","","0.000","-99.000","-99.000","-99.000","28.300","","15.900",""
"C0S750","2020-03-22 00:00:00","2280.000","317.000","0.500","12.900","0.690","776.200","","0.000","-99.000","-99.000","-99.000","18.400","","8.500",""
"C0R650","2020-03-22 00:00:00","29.000","66.000","0.600","23.200","0.990","1013.400","","0.000","-99.000","-99.000","-99.000","29.200","","20.400",""
"C0E740","2020-03-22 00:00:00","27.000","239.000","2.600","23.400","1.000","1004.400","","0.000","-99.000","-99.000","-99.000","28.000","","19.600",""
"C0AI20","2020-03-22 00:00:00","25.000","250.000","1.900","22.900","0.720","1011.100","","0.000","-99.000","-99.000","-99.000","23.500","","18.000",""
"C0E550","2020-03-22 00:00:00","84.000","260.000","3.300","23.100","0.720","1004.600","","0.000","-99.000","-99.000","-99.000","27.600","","18.900",""
"C0X060","2020-03-22 00:00:00","19.000","9.000","0.600","22.900","0.900","1014.800","","0.000","-99.000","-99.000","-99.000","29.100","","18.700",""
"C0R510","2020-03-22 00:00:00","31.000","22.000","0.600","23.900","0.870","1011.200","","0.000","-99.000","-99.000","-99.000","29.600","","21.400",""
"C0AC60","2020-03-22 00:00:00","55.000","0.000","0.100","22.000","0.990","1007.900","","0.000","-99.000","-99.000","-99.000","29.800","","19.600",""
"C0UA70","2020-03-22 00:00:00","547.000","340.000","3.800","18.900","0.990","953.300","","0.500","-99.000","-99.000","-99.000","24.600","","16.700",""
"C0G740","2020-03-22 00:00:00","24.000","131.000","1.100","22.500","0.900","1012.300","","0.000","-99.000","-99.000","-99.000","26.000","","20.000",""
"C0F9N0","2020-03-22 00:00:00","75.000","191.000","1.300","24.500","0.780","1005.800","","0.000","-99.000","-99.000","-99.000","28.100","","20.700",""
"C0F9T0","2020-03-22 00:00:00","111.000","185.000","1.300","23.500","0.830","1001.100","","0.000","-99.000","-99.000","-99.000","27.100","","19.400",""
"C0S710","2020-03-22 00:00:00","382.000","168.000","0.300","20.600","0.940","973.000","","0.000","-99.000","-99.000","-99.000","27.300","","17.100",""
"C0M680","2020-03-22 00:00:00","37.000","0.000","0.000","23.300","0.920","1012.400","","0.000","-99.000","-99.000","-99.000","28.700","","19.600",""
"C0X220","2020-03-22 00:00:00","26.000","0.000","0.000","23.100","0.850","1012.200","","0.000","-99.000","-99.000","-99.000","26.700","","19.700",""
"C0R560","2020-03-22 00:00:00","22.000","352.000","0.900","23.400","0.870","1013.600","","0.000","-99.000","-99.000","-99.000","28.900","","21.100",""
"C0F9P0","2020-03-22 00:00:00","26.000","212.000","1.100","23.100","0.920","1012.200","","0.000","-99.000","-99.000","-99.000","27.000","","19.900",""
"C0O970","2020-03-22 00:00:00","71.000","109.000","1.400","21.300","0.940","1007.300","","0.000","-99.000","-99.000","-99.000","31.800","","18.300",""
"C0F0B0","2020-03-22 00:00:00","311.000","258.000","1.200","22.400","0.760","979.000","","0.000","-99.000","-99.000","-99.000","26.900","","16.900",""
"C0R700","2020-03-22 00:00:00","19.000","53.000","2.900","21.600","0.900","1013.600","","0.000","-99.000","-99.000","-99.000","26.800","","20.000",""
"C0R620","2020-03-22 00:00:00","34.000","175.000","0.800","23.900","0.900","1012.000","","0.000","-99.000","-99.000","-99.000","27.200","","21.800",""
"C0C660","2020-03-22 00:00:00","176.000","14.000","0.300","21.200","0.880","994.000","","0.500","-99.000","-99.000","-99.000","26.900","","18.400",""
"C0SA10","2020-03-22 00:00:00","411.000","190.000","1.000","20.800","0.940","968.900","","0.000","-99.000","-99.000","-99.000","28.700","","18.000",""
"C0C480","2020-03-22 00:00:00","105.000","0.000","0.000","22.900","0.770","1001.900","","0.000","-99.000","-99.000","-99.000","28.900","","19.500",""
"C0U970","2020-03-22 00:00:00","7.000","0.000","0.000","21.700","0.900","1014.400","","0.000","-99.000","-99.000","-99.000","27.400","","18.700",""
"C0R340","2020-03-22 00:00:00","230.000","12.000","0.600","19.500","1.000","988.700","","0.000","-99.000","-99.000","-99.000","29.400","","17.600",""
"C0M750","2020-03-22 00:00:00","10.000","131.000","1.100","23.300","0.890","1013.800","","0.000","-99.000","-99.000","-99.000","26.000","","20.200",""
"C0I110","2020-03-22 00:00:00","161.000","127.000","1.300","23.300","0.840","997.400","","0.000","-99.000","-99.000","-99.000","29.000","","20.200",""
"C0V370","2020-03-22 00:00:00","74.000","71.000","0.300","20.800","0.960","1007.800","","0.000","-99.000","-99.000","-99.000","30.900","","18.100",""
"C0C690","2020-03-22 00:00:00","242.000","192.000","0.800","20.900","0.770","986.300","","0.000","-99.000","-99.000","-99.000","26.900","","18.100",""
"C0A540","2020-03-22 00:00:00","401.000","0.000","0.000","18.300","0.980","968.600","","0.000","-99.000","-99.000","-99.000","27.200","","15.800",""
"C0SA60","2020-03-22 00:00:00","6.000","319.000","0.300","22.500","0.870","1013.800","","0.000","-99.000","-99.000","-99.000","27.900","","19.400",""
"C0H950","2020-03-22 00:00:00","192.000","0.000","0.000","22.400","0.870","993.000","","0.000","-99.000","-99.000","-99.000","29.700","","17.500",""
"C0O960","2020-03-22 00:00:00","112.000","43.000","0.800","21.900","0.870","1001.700","","0.000","-99.000","-99.000","-99.000","30.000","","19.000",""
"C0E880","2020-03-22 00:00:00","507.000","189.000","4.200","20.800","0.990","956.900","","0.000","-99.000","-99.000","-99.000","25.700","","18.200",""
"C0AH10","2020-03-22 00:00:00","30.000","155.000","1.500","23.700","1.000","1010.200","","0.000","-99.000","-99.000","-99.000","29.700","","20.600",""
"C0R680","2020-03-22 00:00:00","13.000","306.000","1.600","22.200","0.960","1013.900","","0.000","-99.000","-99.000","-99.000","27.100","","20.200",""
"C0X210","2020-03-22 00:00:00","38.000","95.000","0.800","22.900","0.910","1009.200","","0.000","-99.000","-99.000","-99.000","28.600","","19.200",""
"C0D430","2020-03-22 00:00:00","87.000","0.000","0.000","20.300","0.980","1002.800","","0.000","-99.000","-99.000","-99.000","28.400","","18.700",""
"C0AD30","2020-03-22 00:00:00","20.000","0.000","0.000","23.600","0.770","1009.900","","0.000","-99.000","-99.000","-99.000","28.100","","20.700",""
"C0R240","2020-03-22 00:00:00","87.000","21.000","0.500","20.700","0.950","1005.100","","0.000","-99.000","-99.000","-99.000","30.200","","18.700",""
"C0AI30","2020-03-22 00:00:00","26.000","0.000","0.000","23.300","0.880","1012.000","","0.000","-99.000","-99.000","-99.000","28.900","","20.700",""
"C0U960","2020-03-22 00:00:00","1885.000","358.000","1.800","10.300","0.970","816.700","","0.000","-99.000","-99.000","-99.000","17.600","","6.400",""
"C0T9E0","2020-03-22 00:00:00","415.000","0.000","0.100","19.800","0.930","969.100","","0.000","-99.000","-99.000","-99.000","26.600","","16.900",""
"C0D550","2020-03-22 00:00:00","1956.000","164.000","1.200","15.100","0.730","813.200","","0.000","-99.000","-99.000","-99.000","19.900","","11.200",""
"C0C630","2020-03-22 00:00:00","209.000","197.000","1.400","21.400","0.840","990.200","","0.000","-99.000","-99.000","-99.000","27.400","","18.400",""
"C0V720","2020-03-22 00:00:00","15.000","23.000","0.400","25.000","0.860","1014.000","","0.000","-99.000","-99.000","-99.000","27.700","","22.200",""
"C0UA60","2020-03-22 00:00:00","566.000","177.000","1.300","18.200","0.990","950.600","","0.500","-99.000","-99.000","-99.000","25.500","","15.700",""
"C0A980","2020-03-22 00:00:00","11.000","0.000","0.000","22.200","0.840","1013.700","","0.000","-99.000","-99.000","-99.000","27.700","","19.400",""
"C0C670","2020-03-22 00:00:00","250.000","131.000","0.800","20.500","0.890","985.700","","0.000","-99.000","-99.000","-99.000","26.900","","18.000",""
"C0K550","2020-03-22 00:00:00","15.000","134.000","0.900","22.400","0.910","1013.600","","0.000","-99.000","-99.000","-99.000","27.700","","19.500",""
"C0R350","2020-03-22 00:00:00","35.000","338.000","1.000","21.700","0.950","1011.300","","0.000","-99.000","-99.000","-99.000","28.600","","18.500",""
"C0T9F0","2020-03-22 00:00:00","251.000","341.000","0.400","20.500","0.970","986.500","","0.000","-99.000","-99.000","-99.000","27.100","","18.000",""
"C0D390","2020-03-22 00:00:00","146.000","0.000","0.000","20.500","0.940","995.800","","0.000","-99.000","-99.000","-99.000","28.500","","17.400",""
"C0E430","2020-03-22 00:00:00","258.000","0.000","0.000","19.700","0.950","987.800","","0.000","-99.000","-99.000","-99.000","27.400","","16.800",""
"C0O990","2020-03-22 00:00:00","18.000","0.000","0.100","21.600","0.990","1013.100","","0.000","-99.000","-99.000","-99.000","31.000","","19.400",""
"CM0010","2020-03-22 00:00:00","68.000","0.000","0.000","21.200","0.840","1006.900","","0.000","-99.000","-99.000","-99.000","29.500","","19.800",""
"C0K500","2020-03-22 00:00:00","12.000","138.000","1.300","22.500","0.990","1012.400","","0.000","-99.000","-99.000","-99.000","28.200","","19.500",""
"C0X260","2020-03-22 00:00:00","39.000","100.000","0.700","23.100","0.890","1011.200","","0.000","-99.000","-99.000","-99.000","28.700","","19.300",""
"C0ACA0","2020-03-22 00:00:00","25.000","0.000","0.000","22.900","0.880","1010.200","","0.000","-99.000","-99.000","-99.000","28.000","","20.200",""
"C0X180","2020-03-22 00:00:00","62.000","119.000","0.400","23.000","0.990","1007.200","","0.000","-99.000","-99.000","-99.000","29.800","","19.400",""
